id ,product,category,brand,sale_price,rating,company
1,Garlic Oil - Vegetarian Capsule 500 mg,Beauty & Hygiene,Sri Sri Ayurveda ,220,4.1,big basket
2,Water Bottle - Orange,"Kitchen, Garden & Pets",Mastercook,180,2.3,big basket
3,"Brass Angle Deep - Plain, No.2",Cleaning & Household,Trm,119,3.4,big basket
4,Cereal Flip Lid Container/Storage Jar - Assorted Colour,Cleaning & Household,Nakoda,149,3.7,big basket
5,Creme Soft Soap - For Hands & Body,Beauty & Hygiene,Nivea,162,4.4,big basket
6,Germ - Removal Multipurpose Wipes,Cleaning & Household,Nature Protect,169,3.3,big basket
7,Multani Mati,Beauty & Hygiene,Satinance,58,3.6,big basket
8,Hand Sanitizer - 70% Alcohol Base,Beauty & Hygiene,Bionova,250,4,big basket
9,Biotin & Collagen Volumizing Hair Shampoo + Biotin & Collagen Hair Conditioner,Beauty & Hygiene,StBotanica,1098,3.5,big basket
10,"Scrub Pad - Anti- Bacterial, Regular",Cleaning & Household,Scotch brite,20,4.3,big basket
11,Wheat Grass Powder - Raw,Gourmet & World Food,NUTRASHIL,261,4,big basket
12,Butter Cookies Gold Collection,Gourmet & World Food,Sapphire,600,2.2,big basket
13,"Face Wash - Oil Control, Active",Beauty & Hygiene,Oxy,110,5,big basket
14,Mold & Mildew Remover with Bleach,Cleaning & Household,Clorox,350,3.8,big basket
15,Just Spray - Mosquito Repellent Room Spray,Cleaning & Household,Herbal Strategi,200,4.2,big basket
16,Dove Plastic Soap Case - Assorted Colour,Cleaning & Household,Nakoda,49,4,big basket
17,Smooth Skin Oil - For Dry Skin,Beauty & Hygiene,Aroma Treasures,324,5,big basket
18,Salted Pumpkin,Gourmet & World Food,Graminway,180,4.9,big basket
19,Flax Seeds - Roasted,Gourmet & World Food,True Elements,120,4.3,big basket
20,Organic Tofu - Soy Paneer,Gourmet & World Food,Murginns,85.14,3.9,big basket
21,Ceramic Barrel Brush - Colour May Vary,Beauty & Hygiene,Bronson Professional,525,4.2,big basket
22,Instant Noodles - Chicken Satay Flavor,Gourmet & World Food,Koka,45,4.1,big basket
23,Chia Seeds,"Foodgrains, Oil & Masala",NaturoBell,120,3.9,big basket
24,Cleanse Green Tea - Whole Leaf Loose Tea,Gourmet & World Food,Cambridge Tea Party,75,3.9,big basket
25,Veggie Cutter,"Kitchen, Garden & Pets",IRICH,195,5,big basket
26,Insulated Hot Fresh Casserole For Roti/Chapati - White,"Kitchen, Garden & Pets",Cello,659,3.3,big basket
27,Granola - Happy Berries,Snacks & Branded Foods,Fit & Flex,245,3.5,big basket
28,Flaxseed - Pesticide Free,"Foodgrains, Oil & Masala",Safe Harvest,53.9,4,big basket
29,Paratha Puff,Snacks & Branded Foods,Switz,90,4.3,big basket
30,Lip Butter - Rose,Beauty & Hygiene,Organic Harvest,169.15,1.5,big basket
31,Fruit Power - Masala Sugarcane,Beverages,Real,19,2.9,big basket
32,Chocobakes Choc Filled Cookies,"Bakery, Cakes & Dairy",Cadbury,102,4.2,big basket
33,Amber - Deodorant Body Spray,Beauty & Hygiene,Old Spice,211.65,3.4,big basket
34,Green Tea - Tulsi Loose Leaf,Beverages,Octavius,225,3.7,big basket
35,Pet Solitaire Container Set - Silver,"Kitchen, Garden & Pets",Steelo,499,3.9,big basket
36,Dhania - Dal,"Foodgrains, Oil & Masala",bb Royal,98,4.1,big basket
37,Pudina Chutney Masala,"Foodgrains, Oil & Masala",Catch,46.75,3.9,big basket
38,Bodylicious Deodorant Spray - Mate (For Men),Beauty & Hygiene,Engage,136.5,4.1,big basket
39,"Sport Deo Spray - Fresh, for Men",Beauty & Hygiene,Engage,112.75,3.7,big basket
40,Choco Deck - Mini Delights,Snacks & Branded Foods,Fabelle,160,4.4,big basket
41,Eau De Toilette - Homme Green,Beauty & Hygiene,Colour Me,427.5,4.3,big basket
42,Lemon & Tea Tree Oil Soap,Beauty & Hygiene,Liril,360,4.2,big basket
43,Flavoured Cream Wafer Roll - Strawberry,Gourmet & World Food,Twister,275,4.3,big basket
44,Storage/Lunch Steel Container with PP Lid - Red,"Kitchen, Garden & Pets",Classic Essentials,109,2.6,big basket
45,Plain Green Olives,Gourmet & World Food,Figaro,179,5,big basket
46,Quinoa - Organic,"Foodgrains, Oil & Masala",Organic Tattva,250,3.9,big basket
47,After Shave Splash - Arctic Ice,Beauty & Hygiene,Gillette,459.62,3.9,big basket
48,Colour Catcher Sheets,Cleaning & Household,Dylon ,799,4,big basket
49,Sauce - Sweet & Sour,Gourmet & World Food,Pantai,245,3.7,big basket
50,Super Hot and Sweet Mango Chutney,Snacks & Branded Foods,Spice Story,100,3,big basket
51,Pani Puri Mix Paste,"Foodgrains, Oil & Masala",Mother's Recipe,48.95,4.1,big basket
52,Peach Syrup,Gourmet & World Food,Pekers,850,4.2,big basket
53,Acne & Oil Control Face Wash,Beauty & Hygiene,Red Hunt,80,4,big basket
54,Choco Deck - French Dessert Inspired Layered Bar,Snacks & Branded Foods,Fabelle,56,4,big basket
55,Extra Fine Green Peas,Gourmet & World Food,Daucy,202.5,4.5,big basket
56,Soothing Cucumber Facial Scrub With Apricot Seeds,Beauty & Hygiene,TJORI,299.4,,big basket
57,Foochka,Snacks & Branded Foods,Shareat,60,3.9,big basket
58,Argan-Liquid Gold Hair Spa,Beauty & Hygiene,Aroma Treasures,199.5,4.4,big basket
59,"Baby Bed Protector - Sublimation Print, Pink",Baby Care,Quick Dry,199,3.7,big basket
